shooterId,goalieId,blockerId,teamId,x,y,time,type,shot_type,gameId,awayNumPlayers,awayFwdIds,awayDefIds,awayGoalieIds,homeFwdIds,homeDefIds,homeGoalieIds,homeNumPlayers,scenario,pred,xgoals
8475810,8478048,0,5,52.0,-21.0,27,SHOT,Slap Shot,2021030143,6,8475184_8476459_8478366,8476885_8480817,8478048,8471675_8475810_8477404,8471724_8476875,8475839,6,5on5,0.0836952014257516,0.0836952014257516
8476458,8475839,0,3,-79.0,-15.0,79,SHOT,Wrist Shot,2021030143,6,8476458_8477429_8478550,8475747_8482073,8478048,8471215_8477953_8478046,8477969_8478507,8475839,6,5on5,0.12113172511822523,0.12113172511822523
8481554,8475839,0,3,-74.0,-30.0,85,SHOT,Wrist Shot,2021030143,6,8480078_8481554_8482109,8475747_8482073,8478048,8470604_8475722_8476934,8477244_8478017,8475839,6,5on5,0.030095804004146798,0.030095804004146798
8482109,0,0,3,-83.0,7.0,87,MISSED_SHOT,none,2021030143,6,8480078_8481554_8482109,8475747_8482073,8478048,8470604_8475722_8476934,8477244_8478017,8475839,6,5on5,0.0,0.0
8476934,8478048,0,5,89.0,-8.0,117,GOAL,Backhand,2021030143,6,8471817_8478211_8479291,8476885_8480817,8478048,8470619_8476927_8478542,8471724_8476875,8475839,6,5on5,0.12545759700222459,0.12545759700222459
8480817,8475839,0,3,-84.0,-31.0,209,SHOT,Wrist Shot,2021030143,6,8475184_8476459_8478366,8476885_8480817,8478048,8471215_8477404_8477953,8471724_8476875,8475839,6,5on5,8.92106616431354e-05,8.92106616431354e-05
8478366,8475839,0,3,-79.0,-2.0,211,SHOT,Wrist Shot,2021030143,6,8475184_8476459_8478366,8476885_8480817,8478048,8471215_8477404_8477953,8471724_8476875,8475839,6,5on5,0.17993834030793976,0.17993834030793976
8476458,0,0,3,-58.0,24.0,233,MISSED_SHOT,none,2021030143,6,8476458_8477429_8478550,8476885_8480817,8478048,8470604_8475722_8476934,8471724_8476875,8475839,6,5on5,0.0,0.0
8476885,0,8470604,3,-49.0,20.0,238,BLOCKED_SHOT,none,2021030143,6,8476458_8477429_8478550,8476885_8480817,8478048,8470604_8475722_8476934,8471724_8476875,8475839,6,5on5,0.0,0.0
8477429,0,8471724,3,-63.0,-17.0,254,BLOCKED_SHOT,none,2021030143,6,8476458_8477429_8478550,8475747_8482073,8478048,8470604_8471215_8478046,8471724_8477244,8475839,6,5on5,0.0,0.0
8478046,8478048,0,5,20.0,37.0,259,SHOT,Wrist Shot,2021030143,6,8477429_8478550_8480078,8475747_8482073,8478048,8471215_8477953_8478046,8477244_8478017,8475839,6,5on5,-0.06549373451413709,-0.06549373451413709
8477244,8478048,0,5,41.0,-33.0,283,SHOT,Wrist Shot,2021030143,6,8480078_8481554_8482109,8475747_8482073,8478048,8471215_8477953_8478046,8477244_8478017,8475839,6,5on5,-0.0057453955845279125,-0.0057453955845279125
8481554,8475839,0,3,-64.0,-14.0,308,GOAL,Wrist Shot,2021030143,6,8475184_8476459_8478366,8476885_8480817,8478048,8471675_8475810_8477404,8471724_8476875,8475839,6,5on5,0.10572131382963867,0.10572131382963867
8476459,0,0,3,-48.0,-7.0,319,MISSED_SHOT,none,2021030143,6,8475184_8476459_8478366,8476885_8480817,8478048,8471675_8475810_8477404,8471724_8476875,8475839,6,5on5,0.0,0.0
8476459,0,0,3,-64.0,34.0,339,MISSED_SHOT,none,2021030143,6,8475184_8476459_8478366,8476885_8480817,8478048,8471675_8475810_8477404,8471724_8476875,8475839,6,5on5,0.0,0.0
8478046,0,8474027,5,74.0,-14.0,380,BLOCKED_SHOT,none,2021030143,6,8471817_8478211_8479291,8474027_8479323,8478048,8471215_8477953_8478046,8477244_8478017,8475839,6,5on5,0.0,0.0
8471675,0,0,5,73.0,7.0,398,MISSED_SHOT,none,2021030143,5,8477429_8479291,8476885_8480817,8478048,8471215_8471675_8475810_8477404,8471724,8475839,6,5on4,0.0,0.0
